month,day,temp_max,temp_avg,temp_min,precipitation
3,1,26,23.0,20,5.0
3,2,34,30.2,20,2.5
3,4,28,28.0,28,6.0
3,5,34,26.7,18,8.5
3,8,34,25.3,19,7.0
3,10,33,33.0,33,5.0
3,11,21,21.0,21,6.0
3,12,32,31.0,30,1.0
3,14,34,32.5,31,4.0
3,15,33,26.5,20,9.0
3,16,23,23.0,23,0.5
3,17,29,23.0,18,7.0
3,19,34,31.0,26,5.0
3,20,36,29.4,20,8.0
3,22,36,34.2,33,4.0
3,23,30,26.0,22,6.5
3,24,32,32.0,32,4.0
3,25,32,25.7,17,2.5
3,26,35,34.5,34,5.0
3,27,27,25.0,23,0.5
3,28,34,31.0,28,8.0
3,29,35,30.7,25,5.0
3,30,31,27.5,24,9.5
3,31,29,27.0,25,4.0
4,1,34,26.3,0,1.0
4,2,32,31.0,29,4.5
4,3,32,25.3,18,1.5
4,5,33,33.0,33,3.0
4,6,28,25.3,24,3.5
4,7,32,25.6,17,2.5
4,8,29,26.3,25,4.0
4,9,29,23.3,19,1.5
4,10,29,27.3,25,1.0
4,11,17,17.0,17,3.0
4,12,22,22.0,22,0.0
4,13,27,24.0,19,0.5
4,14,27,23.5,20,3.0
4,15,29,28.0,27,1.0
4,16,30,24.3,19,0.0
4,17,30,27.7,26,0.5
4,18,24,23.4,23,3.0
4,19,26,26.0,26,0.5
4,20,24,23.4,22,3.0
4,21,25,25.0,25,0.0
4,22,29,24.6,18,0.5
4,23,29,25.2,21,2.5
4,24,19,19.0,19,6.5
4,25,28,24.0,17,0.0
4,26,32,29.8,27,3.0
4,27,25,21.5,18,2.5
4,28,30,26.2,19,2.0
4,29,26,21.7,17,0.5
4,30,24,20.3,16,2.0
5,4,29,27.8,27,0.0
5,5,23,19.8,16,0.0
5,6,27,27.0,27,1.0
5,8,29,25.3,19,0.0
5,10,24,24.0,24,0.0
5,11,23,19.0,14,0.0
5,12,28,25.0,21,0.5
5,13,27,22.2,15,0.5
5,14,27,27.0,27,0.0
5,15,26,26.0,26,1.0
5,18,26,26.0,26,0.0
5,19,28,28.0,28,0.0
5,20,27,27.0,27,0.0
5,21,28,28.0,28,1.0
5,22,27,27.0,27,0.0
5,23,13,13.0,13,0.0
5,24,26,26.0,26,0.5
5,25,25,21.0,12,0.0
5,26,25,21.2,15,1.0
5,29,25,25.0,25,0.0
5,30,25,21.0,15,0.0
5,31,25,22.3,20,0.0
6,1,26,24.6,21,0.0
6,2,26,24.4,21,0.0
6,3,25,25.0,25,0.0
6,4,24,24.0,24,0.0
6,5,22,14.4,8,0.0
6,10,22,15.3,12,0.0
6,11,24,16.0,8,0.0
6,13,23,16.0,9,0.0
6,14,22,20.0,18,0.0
6,15,23,22.0,21,0.0
6,16,20,18.5,17,0.0
6,18,24,19.7,14,0.0
6,25,26,26.0,26,0.0
6,26,24,24.0,24,0.0
6,27,23,23.0,23,0.0
6,30,24,24.0,24,0.0
7,4,26,19.8,12,0.0
7,7,27,27.0,27,0.0
7,8,28,27.0,25,0.0
7,9,23,18.0,13,0.0
7,10,28,26.5,25,0.0
7,12,23,15.4,7,0.0
7,13,21,15.4,7,0.0
7,14,14,9.3,7,0.0
7,15,20,20.0,20,0.0
7,16,20,17.3,13,0.0
7,17,24,24.0,24,0.0
7,18,13,13.0,13,0.0
7,19,22,18.0,14,0.0
7,20,28,26.5,25,0.0
7,21,27,25.0,22,0.0
7,22,20,14.0,10,0.0
7,23,25,25.0,25,0.0
7,24,19,12.5,6,0.0
7,26,26,23.8,21,0.0
7,27,24,17.6,10,0.0
7,28,24,24.0,24,0.0
7,31,26,25.5,25,0.0
8,1,21,21.0,21,0.0
8,2,27,21.8,12,0.0
8,3,16,16.0,16,0.0
8,4,29,29.0,29,0.0
8,5,30,29.0,28,0.0
8,7,32,26.0,20,0.0
8,8,28,24.3,21,0.0
8,9,32,20.8,14,0.0
8,11,27,25.8,24,0.0
8,12,17,17.0,17,0.0
8,13,30,27.1,24,0.0
8,14,28,18.8,14,0.0
8,15,22,17.7,13,0.5
8,16,26,23.0,18,0.0
8,17,27,25.7,22,1.5
8,19,25,23.0,21,1.0
8,20,23,18.3,13,0.0
8,21,22,18.3,16,0.0
8,22,23,21.0,19,0.5
8,23,25,21.9,15,0.0
8,25,26,21.0,10,0.0
8,26,28,21.0,12,0.0
8,27,31,26.2,15,1.0
8,28,33,28.9,24,0.5
8,29,33,31.5,30,0.0
8,31,30,28.3,25,0.0
9,6,31,29.5,28,0.0
9,7,23,21.0,18,1.0
9,8,24,20.5,16,0.0
9,9,26,21.2,11,0.5
9,13,34,30.6,24,0.0
9,14,35,34.7,34,0.0
9,15,33,33.0,33,0.5
9,16,32,30.7,28,0.5
9,17,25,25.0,25,0.0
9,20,31,31.0,31,1.0
9,21,31,27.3,22,0.5
9,22,34,31.7,25,0.0
9,25,27,23.8,19,1.0
9,26,15,15.0,15,0.5
9,28,30,29.0,27,0.0
9,30,34,34.0,34,1.0